order_id;customer_id;order_date;delivery_date;product;category;price;quantity;discount;state;channel;payment_type;return_flag
43;06a147c1-b144-4b35-b905-fad685dd9a9a;22/03/2025;25/03/2025;Cumque;Beleza;42.46;4;31.82;SC;App;Carteira Digital;Não
44;27ade302-b942-4b37-b88c-ed6287a60679;24/02/2025;05/03/2025;Ad;Perfumes;158.76;4;5.04;SP;Loja Física;Cartão de Crédito;Sim
45;be159f34-73f8-4f4f-a874-a9d467b4949c;22/01/2025;23/01/2025;Hic;Perfumes;351.01;1;32.79;BA;Site;Boleto;Sim
46;cc437707-5874-4c97-b2e4-2b6370c5b597;19/01/2025;25/01/2025;Cum;Cabelos;470.22;4;36.75;DF;Site;Carteira Digital;Sim
47;61cee353-c655-483b-8f14-f33359cd7eac;01/04/2025;08/04/2025;Neque;Pele;394.91;4;43.36;DF;Site;Cartão de Crédito;Não
48;303536c9-7e99-4c14-8793-fff55c60c243;24/02/2025;01/03/2025;Repellendus;Maquiagem;281.13;4;41.32;RJ;Site;Cartão de Crédito;Sim
49;c55db95f-d96c-41a8-99ef-89461f301973;13/01/2025;16/01/2025;Eius;Cabelos;455.53;4;17.75;MG;App;Carteira Digital;Não
50;ac283826-583c-4a39-b777-65de298a0b0c;20/03/2025;25/03/2025;Aliquid;Cabelos;313.15;4;33.63;SC;Site;Boleto;Não
51;4490d560-f410-43a2-8107-28d22048c6f8;20/06/2025;25/06/2025;Ipsa;Beleza;288.28;1;36.85;SC;App;Carteira Digital;Não
52;a6fa1a05-1497-4d0d-8fae-379eab64f78a;04/07/2025;13/07/2025;Temporibus;Perfumes;449.19;2;4.07;DF;Site;Boleto;Não
53;a8c4ba1b-a01c-4a7c-aa48-c4cb4aaa6c30;16/04/2025;23/04/2025;Iure;Cabelos;206.84;3;24.08;SP;Loja Física;Cartão de Crédito;Não
54;39f47045-cb4d-401f-9687-b823a601fe71;07/06/2025;12/06/2025;Odio;Beleza;220.44;2;2.82;SP;Loja Física;Carteira Digital;Sim
55;02086080-e9dc-419d-b0dd-08d17f6fc9bc;13/04/2025;17/04/2025;Voluptates;Beleza;482.22;3;23.89;RJ;Site;Cartão de Crédito;Sim
56;5e6c8b8b-349d-41b5-9d65-27964e980ee6;28/06/2025;04/07/2025;Necessitatibus;Infantil;50.4;1;49.65;RS;App;Cartão de Crédito;Sim
57;cd28acf8-5594-4068-81fb-f6e893070c59;26/04/2025;02/05/2025;Repellat;Maquiagem;324.95;2;19.21;SP;Loja Física;Cartão de Crédito;Não
58;42c1d4d6-d1ba-4a5a-9cba-e2beb401e13e;15/06/2025;20/06/2025;Occaecati;Infantil;187.76;2;9.41;BA;App;Boleto;Não
59;0b855f58-dbae-4f9f-82be-8ddb0d129ff2;13/05/2025;19/05/2025;Amet;Cabelos;281.97;1;20.56;PR;App;Boleto;Não
60;bd1ff544-b643-4c54-ace9-7a453bea74e2;23/02/2025;26/02/2025;Quisquam;Perfumes;472.05;3;36.29;BA;Site;Cartão de Crédito;Não
61;b7a81c67-af97-4a4a-82ec-bd1ed870b5f3;15/05/2025;20/05/2025;Quod;Maquiagem;206.94;1;24.02;RJ;Site;Boleto;Não
62;afaf4901-88c9-4a2a-94c8-0ddf6c2938c7;28/01/2025;03/02/2025;Odio;Cabelos;47.31;3;13.67;BA;Site;Boleto;Não
63;18dab4e4-992d-4817-9f7e-edc9a46e8cd4;06/02/2025;15/02/2025;Incidunt;Pele;241.76;2;12.57;MG;App;Pix;Sim
64;abe7b7e8-b0d1-4eb4-8f2b-ba1c12bcd89c;28/06/2025;02/07/2025;Autem;Infantil;156.28;3;33.58;PR;Loja Física;Cartão de Crédito;Sim
65;de49f814-45a2-4943-9923-843e93369ac1;03/04/2025;11/04/2025;Incidunt;Pele;43.53;3;39.23;RJ;Site;Boleto;Não
66;a64d09d4-d607-49fa-b354-acedb3c4ebb8;14/02/2025;22/02/2025;Cumque;Pele;371.41;1;25.7;RS;Loja Física;Pix;Sim
67;b7829706-9f7a-49d3-a1ac-497b36ab3650;23/06/2025;01/07/2025;Dolores;Infantil;245.79;2;31.04;PR;Loja Física;Carteira Digital;Não
68;bd6e25dd-9b0b-4565-ac84-a4c3c1fcd371;22/06/2025;27/06/2025;Aperiam;Beleza;304.84;3;6.94;RJ;Loja Física;Carteira Digital;Não
69;d8a57e82-a7d4-4759-bacf-211174a3775a;18/01/2025;24/01/2025;Corporis;Beleza;120.38;3;41.09;SP;App;Boleto;Não
70;141fd1a9-04d8-427f-9650-5ba3dcac41c7;13/02/2025;15/02/2025;Molestias;Cabelos;287.9;1;23.04;DF;Loja Física;Carteira Digital;Sim
71;c1ef7d8e-f8b0-404f-b53a-8feff1a61d8f;08/04/2025;12/04/2025;Assumenda;Beleza;405.72;1;34.39;RJ;Loja Física;Boleto;Sim
72;c9a0ac02-f91a-4df0-90bf-c7782311b7ac;04/05/2025;07/05/2025;At;Pele;438.1;4;37.41;MG;App;Boleto;Sim
73;6666a3b3-6681-4a25-9686-68375556e4b0;30/06/2025;04/07/2025;Ducimus;Pele;203.39;4;36.03;BA;Site;Pix;Sim
74;823d8a98-a5ab-49dd-9c43-aac0acf2c8b8;29/06/2025;01/07/2025;Asperiores;Infantil;352.97;3;25.58;RS;Loja Física;Cartão de Crédito;Não
75;1672e366-8c20-4042-8203-cb8e06e93c7b;29/04/2025;03/05/2025;Quis;Maquiagem;156.54;1;9.11;SC;Loja Física;Boleto;Sim
76;64d5f096-0842-46e8-b369-a38b5b7f39c9;11/05/2025;15/05/2025;Cumque;Cabelos;191.18;1;33.96;MG;App;Cartão de Crédito;Sim
77;16272ee3-3b6a-4942-9c7a-fa388f775208;30/03/2025;05/04/2025;Cumque;Infantil;89.96;1;16.87;BA;App;Boleto;Não
78;d62b958e-be79-4e2b-9bc8-d7154e0aa8aa;06/03/2025;12/03/2025;Saepe;Cabelos;135.91;2;12.3;RJ;App;Cartão de Crédito;Não
79;671cf6c8-f60c-4c96-b1ef-ddd404ffbb39;23/02/2025;26/02/2025;Ad;Cabelos;451.48;3;2.58;RS;App;Pix;Não
80;4d170bdf-2053-4471-a357-7e6ddeebacaa;18/04/2025;22/04/2025;Occaecati;Cabelos;461.18;3;40.85;RS;Site;Boleto;Não
81;7def236f-9a3d-4629-9cba-a7f1f0e1a479;05/03/2025;11/03/2025;Esse;Pele;391.66;2;48.4;PR;Site;Pix;Não
82;aa794fde-da02-453e-a1ab-964fa8180149;27/02/2025;05/03/2025;Labore;Infantil;267.87;3;24.06;SC;Loja Física;Pix;Sim
83;fa3dcd20-87b2-4ffa-8672-351baf448ba7;08/06/2025;11/06/2025;Recusandae;Beleza;59.79;4;10.09;PR;Site;Pix;Sim
84;7635cbb3-b5e0-44b3-9631-39bf605ef7a4;25/04/2025;28/04/2025;Voluptates;Beleza;84.85;3;23.58;SC;App;Pix;Não
85;9026a2f0-077b-43a7-9de9-9e34833ebf34;29/01/2025;06/02/2025;Atque;Maquiagem;61.25;4;36.08;RJ;App;Boleto;Não
86;384b37e5-7b05-4d76-8f19-3933ef4b73a5;09/05/2025;15/05/2025;Eaque;Beleza;140.78;2;26.15;SC;Site;Boleto;Não
87;eafb1c26-d85d-4eaf-9fc6-29cbc0c151b4;23/01/2025;30/01/2025;Tempore;Perfumes;381.38;3;28.87;RJ;Loja Física;Pix;Não
88;c634e78b-b8c8-4696-8529-f76904dd6efc;07/04/2025;10/04/2025;Ipsam;Infantil;137.64;3;5.84;RJ;Loja Física;Pix;Não
89;57dd4022-6740-4140-8158-2f4ca5b89bd3;30/06/2025;07/07/2025;Incidunt;Infantil;400.64;2;37.62;SC;App;Carteira Digital;Não
90;d2052d08-3471-4a0a-9040-c08e2cc5bae2;22/06/2025;27/06/2025;Accusantium;Maquiagem;384.68;2;41.06;MG;Site;Carteira Digital;Não
91;5c7f3927-23ef-42d4-8917-f99b25f1488c;19/05/2025;22/05/2025;Doloribus;Infantil;404.73;1;24.32;MG;Loja Física;Pix;Não
92;1c37a65d-6363-46c0-8341-fc1b01d1a5e9;18/04/2025;20/04/2025;Doloribus;Maquiagem;311.27;4;27.14;SP;App;Pix;Sim
93;4d658b16-648c-4d7e-b386-054ad464fcd1;08/03/2025;13/03/2025;Voluptate;Perfumes;247.14;2;30.75;BA;App;Carteira Digital;Não
94;89b44782-d45a-43c8-975b-c29cf54ef46a;18/06/2025;21/06/2025;Beatae;Infantil;371.26;3;46.61;RS;Loja Física;Carteira Digital;Sim
95;8123af98-721b-4648-8b54-4942248e3c39;04/06/2025;11/06/2025;Nostrum;Infantil;376.13;4;42.02;RJ;App;Pix;Sim
96;474b162d-e5fd-43d3-a8da-063b9fbf7eed;21/03/2025;24/03/2025;Qui;Cabelos;117.57;3;46.04;PR;Site;Boleto;Sim
97;744fcd24-ec1f-4e10-8cae-7ca11a0d2364;16/04/2025;20/04/2025;Dignissimos;Beleza;187.54;4;39.39;SP;Site;Carteira Digital;Sim
98;53bdb8fa-dd0b-42d4-a558-fda3314bb7fc;01/05/2025;07/05/2025;Esse;Perfumes;461.67;4;11.23;SC;Loja Física;Boleto;Não
99;f0380d7e-e67a-4b72-a3ea-8f625d767d32;13/02/2025;16/02/2025;Sint;Perfumes;226.89;4;15.57;SC;Site;Boleto;Sim
100;a4ae1dbf-4f4a-45a3-85e9-3b48ebb4aeac;06/07/2025;10/07/2025;Cum;Beleza;488.5;1;7.43;SC;Site;Boleto;Não
101;5b3f2605-7624-4cae-9dec-da485c9348ac;02/04/2025;07/04/2025;Similique;Beleza;382.48;3;39.99;RS;Site;Carteira Digital;Sim
102;1014b800-089e-4840-b04b-7bc9662df5b5;19/02/2025;25/02/2025;Omnis;Perfumes;365.61;2;26.22;BA;App;Carteira Digital;Não
103;bad9f60c-7785-4dd8-af97-d28db6c68121;26/02/2025;02/03/2025;Quos;Cabelos;435.04;3;37.66;DF;App;Pix;Sim
104;8f5e34cb-db31-450d-8f6a-878bed19815e;10/03/2025;19/03/2025;Tempora;Infantil;122.17;3;0.99;PR;Loja Física;Carteira Digital;Sim
105;05909332-1105-423f-8c82-2b41a29f3afc;19/05/2025;23/05/2025;Deserunt;Pele;76.74;4;49.44;DF;Site;Pix;Sim
106;cde5285d-08ba-4b36-a892-589849ce708b;04/03/2025;11/03/2025;Nesciunt;Pele;327.62;1;10.39;BA;App;Cartão de Crédito;Sim
107;866d2e70-6550-4f6e-b53e-c9b82c8bbea0;15/02/2025;16/02/2025;Ullam;Cabelos;304.03;4;35.2;RS;App;Boleto;Sim
108;d8d4c01c-db2d-4093-865b-40f40088a47b;13/03/2025;18/03/2025;Suscipit;Beleza;420.41;1;20.47;SC;App;Pix;Não
109;8821ba68-3d4f-4a84-85d9-0666d626d666;25/06/2025;01/07/2025;Mollitia;Perfumes;259.09;2;23.55;SP;Site;Carteira Digital;Não
110;266f10fb-a8d5-40d4-a7a5-15460551ca9b;19/04/2025;25/04/2025;Natus;Maquiagem;333.18;2;49.22;SP;Loja Física;Carteira Digital;Não
111;bea94863-c48a-4645-994e-0f4f4e94044a;20/01/2025;23/01/2025;Animi;Beleza;459.72;1;40.75;BA;App;Carteira Digital;Não
112;b084d366-3529-4f61-869c-b9aa1bd92867;04/06/2025;08/06/2025;Animi;Maquiagem;80.09;2;6.84;RS;App;Boleto;Não
113;597ddff8-bdb0-4323-9c64-75163956b06b;15/01/2025;23/01/2025;Laborum;Perfumes;273.89;4;17.69;DF;Site;Carteira Digital;Não
114;1ccf9aaa-fae4-416f-a1c8-e9b34abcd6d2;28/03/2025;01/04/2025;Laudantium;Infantil;423.43;3;17.78;SC;Loja Física;Boleto;Não
115;0f4b6fa4-484d-4860-83f9-04b972b256ad;10/05/2025;17/05/2025;Itaque;Cabelos;44.66;4;8.1;SP;App;Cartão de Crédito;Sim
116;afb92453-90b3-49ed-8fd9-7a5bd743600b;21/01/2025;28/01/2025;At;Infantil;224.01;1;34.42;SC;Site;Carteira Digital;Sim
117;049f81fc-179e-4ae7-b87d-968f5ec61357;20/01/2025;27/01/2025;Fuga;Beleza;73.04;3;48.1;PR;App;Pix;Sim
118;971d1291-97f0-4ae6-8508-ff6a750f846a;30/06/2025;08/07/2025;Facilis;Perfumes;329.5;4;12.48;BA;App;Carteira Digital;Não
119;9445d117-eb84-4014-bb66-1f792e880006;15/06/2025;19/06/2025;Amet;Perfumes;361.62;3;49.97;PR;Site;Carteira Digital;Sim
120;d1aca1a8-5b4b-4ed6-a1dc-172432e267e1;06/05/2025;11/05/2025;Unde;Infantil;84.18;3;47.21;SP;App;Boleto;Sim
121;9adbb69b-cffc-4c52-8bd0-d35c0e525436;18/06/2025;23/06/2025;Ab;Infantil;310.25;3;28.03;SP;Site;Boleto;Sim
122;905c0236-dc47-4772-8819-4609765b25ce;11/01/2025;19/01/2025;Labore;Beleza;376.79;1;44.3;MG;Site;Boleto;Não
123;11def9d5-16dc-421d-ad7a-9c0688d3cc4c;20/05/2025;22/05/2025;Similique;Infantil;438.95;2;0.01;RJ;Loja Física;Boleto;Não
124;4ef5c2df-fd04-4e67-b5af-ea4b9b74d287;22/01/2025;25/01/2025;Illum;Infantil;34.46;1;38.36;PR;App;Boleto;Sim
125;58be9a41-1cde-46c2-b27c-9fddbc7c42a3;08/04/2025;17/04/2025;Laborum;Cabelos;81.92;2;14.85;PR;Site;Cartão de Crédito;Não
126;0372c2b0-c907-4a6e-8c04-d12d4adad301;11/05/2025;16/05/2025;Maxime;Maquiagem;81.45;1;33.98;SC;App;Boleto;Sim
127;594dff7a-3dfb-4f86-846c-2a4a4dcb288a;01/02/2025;05/02/2025;Culpa;Maquiagem;443.19;2;30.04;RS;Site;Pix;Sim
128;cf051bf0-2636-44a1-a8bd-017f927ca873;15/04/2025;21/04/2025;A;Maquiagem;420.4;2;11.53;SP;App;Carteira Digital;Não
129;b95e697a-f4d1-40fc-b2c1-e170facd948f;10/03/2025;13/03/2025;Blanditiis;Beleza;194.56;1;31.49;BA;Site;Carteira Digital;Não
130;e6299c36-89af-4a0e-9c67-70a4a7bb6e92;15/05/2025;20/05/2025;Adipisci;Beleza;260.86;1;7.69;SC;App;Carteira Digital;Sim
131;275ebc66-b4e3-4c45-a4db-72ccec32cf39;02/07/2025;08/07/2025;Aliquid;Perfumes;442.41;3;13.65;MG;Loja Física;Pix;Não
132;2beba768-ccac-45f9-aea3-b12f56e0c676;16/06/2025;19/06/2025;Fugit;Perfumes;184.65;1;27.54;SC;Loja Física;Pix;Não
133;3011b805-272c-4638-88dc-313e5a5b17a9;23/06/2025;26/06/2025;Pariatur;Cabelos;370.01;2;26.63;RJ;App;Carteira Digital;Sim
134;6598a7dd-2af4-4179-8c3b-83f7bdd1f948;19/05/2025;23/05/2025;Illum;Perfumes;444.97;2;29.62;SC;App;Cartão de Crédito;Não
135;944b6ce2-81b3-4430-81aa-e4d5f466bf87;27/03/2025;07/04/2025;Tempora;Pele;357.81;2;5.29;MG;App;Boleto;Não
136;9a43dbf7-cc07-42a6-961d-aeed9aecda4e;30/04/2025;06/05/2025;Vel;Pele;415.38;1;37.18;BA;App;Pix;Sim
137;39be0a80-4372-4001-a621-8e5f141ebd5d;22/04/2025;26/04/2025;Fuga;Maquiagem;164.91;2;16.32;RS;Site;Boleto;Não
138;63bb721c-cef3-4abc-b1f0-06141ac59514;20/03/2025;23/03/2025;Dignissimos;Perfumes;414.78;4;5.35;RS;Loja Física;Carteira Digital;Não
139;2366906c-298e-431f-907b-b7987c52f09b;27/01/2025;04/02/2025;Dolores;Perfumes;61.88;3;8.32;SP;Site;Pix;Sim
140;0056bda3-5e42-4f77-82ee-bcf12e873b46;13/06/2025;17/06/2025;Necessitatibus;Perfumes;430.63;2;48.67;RS;App;Pix;Não
141;0f572a9f-a5e0-485d-88f4-20ea4a7a987e;11/03/2025;15/03/2025;Incidunt;Maquiagem;40.4;2;18.59;BA;App;Pix;Não
142;53e1a833-0a74-45d7-a482-fad5ac1f0ef2;11/04/2025;13/04/2025;Alias;Infantil;104.7;2;49.86;DF;App;Pix;Não
143;61867d82-ec1a-4656-95d2-6648fb7c3bd1;27/02/2025;04/03/2025;Maxime;Cabelos;68.72;2;11.5;RJ;Loja Física;Boleto;Não
144;43e20f73-1854-4edd-9806-42f3a476cd5a;08/07/2025;11/07/2025;Sapiente;Beleza;373.7;3;20.99;MG;Site;Boleto;Não
145;46082580-5cd8-42f1-b1be-f8375172e9de;29/05/2025;04/06/2025;Beatae;Pele;130.16;4;43.41;PR;Site;Boleto;Não
146;17e3d89c-8da8-43fb-a272-7ba466310595;24/06/2025;29/06/2025;Nam;Cabelos;72.85;4;38.55;BA;Site;Pix;Sim
147;4fbc34b0-0e54-4220-9aa8-663e3790433c;09/02/2025;13/02/2025;Occaecati;Infantil;462.8;3;9.27;MG;App;Cartão de Crédito;Sim
148;d5f7f4e9-73d3-431f-b065-2ea8c8780dc6;21/04/2025;22/04/2025;Nulla;Maquiagem;311.21;2;34.28;PR;Loja Física;Boleto;Não
149;6281fdbd-9c4c-4e5a-bc1b-f7fc4565df25;03/02/2025;06/02/2025;Cumque;Beleza;303.53;1;29.51;SP;Loja Física;Pix;Não
150;ecbbe04d-a3ee-4928-ba0a-53af3f796e2d;11/03/2025;18/03/2025;Suscipit;Perfumes;338.78;1;43.01;DF;App;Boleto;Sim
151;ed3749af-8a0b-43dc-94d5-064764d4c525;29/06/2025;02/07/2025;Quis;Pele;143.76;1;28.55;DF;Site;Cartão de Crédito;Não
152;d279907d-ad9a-4745-90ae-8865a0e5e70b;19/05/2025;21/05/2025;Architecto;Perfumes;192.63;4;0.49;RJ;Loja Física;Cartão de Crédito;Sim
153;250722f7-7bd2-44d8-b04e-2721ef67881e;20/04/2025;23/04/2025;Architecto;Cabelos;45.61;4;17.89;PR;Site;Boleto;Sim
154;3175efe8-1061-4937-b4b6-92e3fabe47bf;21/04/2025;26/04/2025;Repellendus;Maquiagem;345.08;4;31.82;SC;Loja Física;Boleto;Não
155;0059e036-f90d-44f2-9233-fe16170277fd;09/07/2025;12/07/2025;Deserunt;Perfumes;284.41;2;46.76;DF;App;Carteira Digital;Não
156;4443541f-3ddd-441e-b86e-8c5c8920c5e2;19/02/2025;01/03/2025;Odio;Maquiagem;107.08;2;4.08;SP;Loja Física;Cartão de Crédito;Sim
157;13e45745-c21d-450d-adaa-033e6210429e;06/05/2025;08/05/2025;Earum;Infantil;439.74;2;16.45;RS;App;Cartão de Crédito;Sim
158;6b06378b-6b7d-49de-a254-c4f3e0ec7967;27/01/2025;31/01/2025;Praesentium;Cabelos;105.99;2;35.96;MG;Loja Física;Cartão de Crédito;Sim
159;e7644b4c-19df-461f-818a-6eb23be5f636;22/01/2025;28/01/2025;Similique;Beleza;44.41;1;42.02;SC;App;Carteira Digital;Não
160;455a738d-9e38-4073-8446-ffc6dea485dd;03/04/2025;11/04/2025;Ab;Beleza;271.58;1;21.93;RS;App;Pix;Não
161;2d947a7f-da9c-4299-93de-b95a50827cd7;04/03/2025;12/03/2025;Occaecati;Beleza;322.79;4;41.8;RS;App;Boleto;Não
162;f34e8413-b16e-49a7-9f8f-d3a0bcc39f2e;13/06/2025;19/06/2025;Et;Beleza;224.12;2;24.61;RS;Loja Física;Boleto;Não
163;2649555d-9278-4533-876d-3c620df7d2de;30/04/2025;06/05/2025;Dignissimos;Cabelos;213.81;1;19.95;RJ;Site;Boleto;Não
164;7cdbb605-4964-4b6a-8ec2-0aad2fabb230;02/07/2025;04/07/2025;Quasi;Maquiagem;311.4;4;48.49;PR;App;Cartão de Crédito;Não
165;7abcb898-44c7-465e-ae74-6f9d25f68468;21/06/2025;24/06/2025;In;Infantil;274.29;2;33.47;PR;Loja Física;Carteira Digital;Não
166;1aade64e-a338-46e3-b295-b421431671a1;15/05/2025;20/05/2025;Delectus;Maquiagem;208.3;3;36.82;DF;App;Cartão de Crédito;Sim
167;47efba98-4e10-4fd8-982c-6dd4abc6eb84;13/06/2025;20/06/2025;Adipisci;Perfumes;156.78;2;6.15;BA;Loja Física;Pix;Sim
168;5294fc16-e359-4e18-b347-71f3034542fa;28/01/2025;31/01/2025;Quibusdam;Beleza;114.6;3;15.81;RS;Loja Física;Cartão de Crédito;Não
169;abf47e3d-4113-441a-907c-2a1d417385af;28/05/2025;30/05/2025;Ea;Maquiagem;493.72;4;34.3;SP;Site;Carteira Digital;Não
170;8970521b-e9a0-4618-8ef7-898c9eb7f0a6;27/02/2025;28/02/2025;Cumque;Pele;487.36;3;22.74;MG;Loja Física;Carteira Digital;Não
171;499bf1f5-5b74-4d7c-92fc-15d12101dcf3;11/06/2025;15/06/2025;Dignissimos;Beleza;174.73;4;46.99;DF;App;Carteira Digital;Não
172;72a5e078-dd87-4841-8b51-9c267d73de48;02/07/2025;06/07/2025;Natus;Pele;140.24;3;8.86;RJ;Site;Pix;Não
